ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover
3PLAND,20902000.0,1397045000.0,19258000.0,1533350000.0,36586000.0,17394000.0,11547000.0,,,11711000.0,,1534936000.0,0.014961579619840449,0.012559428701861936,0.5713114306018696,0.5263762094790357,0.2812635995534176,(0.21872641953333494+0j),,,0.5602813127930342,,,0.02383552148102592
5PAISA,682340000.0,6036420000.0,1094300000.0,6130600000.0,2291570000.0,2159730000.0,137360000.0,2174160000.0,182110000.0,979350000.0,80320000.0,16666280000.0,0.1130371975442398,0.17849802629432682,0.2977609237335102,0.4775328704774456,0.01994766732031983,(0.7062664431527712+0j),0.3601737453656306,6.0090055460985115,1.4352815312014537,899030000.0,0.3923205487940582,0.1374973899394466
63MOONS,-331704000.0,34143357000.0,-546872000.0,34567865000.0,468204000.0,1597650000.0,-531734000.0,28480000.0,6688000.0,-1427828000.0,112723000.0,36785417000.0,-0.009715037686540313,-0.015820242297289695,-0.7084604146910322,-1.1680207772680284,-0.33577101147892274,(-0.1455524162850491+0j),0.0008341300476107256,-81.76913875598086,4.304524515833394,-1540551000.0,-3.2903413896506652,0.012727978589993964
A2ZINFRA,89731000.0,451660000.0,171251000.0,720086000.0,3362675000.0,3533250000.0,-1799100000.0,916225000.0,70842000.0,542143000.0,33343000.0,4984243000.0,0.1986693530531816,0.23782020480887006,0.02668441047677816,0.05092701495089475,-0.01635850207749956,(-0.8159514476861139+0.318781443667149j),2.0285723774520656,2.4173654047034243,6.041869587990773,508800000.0,0.1513081103585687,0.6746611270758669
AAATECH,35103000.0,308251000.0,47007000.0,308251000.0,254555000.0,144016000.0,23384000.0,0.0,0.0,16553000.0,2589000.0,325543000.0,0.11387797606496004,0.15249585565010332,0.13789947162695684,0.18466343226414725,0.20908535972260478,(0.14500788452667868+0j),0.0,,0.47155513773751534,13964000.0,0.05485651430928483,0.7819397130333012
AADHARHFC,9118300000.0,63722900000.0,23313400000.0,206359200000.0,28351700000.0,16118500000.0,4448500000.0,163218800000.0,11580800000.0,-30266500000.0,148000000.0,232239600000.0,0.14309298541026852,0.1129748516179555,0.3216138714786062,0.822292843109937,0.207122913505579,0.27028185319869547,2.5613837411668334,2.0131079027355625,-3.3193139071976137,-30414500000.0,-1.0727575418757958,0.1220795247666634
AAKASH,18408290.0,603615230.0,45286880.0,630635561.0,981889390.0,768766480.0,61214600.0,237283160.0,19725230.0,82294550.0,90905150.0,964316280.0,0.03049672885158978,0.07181149113790619,0.018747824538566406,0.04612218082934983,0.08498244023780988,-0.3300339272124684,0.393103335050045,2.2958860302262636,4.470515729597915,-8610600.0,-0.008769419537163956,1.0182233882850138
AAREYDRUGS,40239000.0,1384805000.0,99842000.0,1413859000.0,4722350000.0,4916097000.0,65548000.0,348560000.0,38823000.0,103004000.0,52044000.0,2905920000.0,0.029057520733966155,0.07061665979422276,0.008520969432591823,0.02114243967516173,-0.013313371203884428,-0.15011027626667095,0.251703308408043,2.571722947737166,2.559805164144238,50960000.0,0.010791237413575868,1.6250791487721616
AARON,82432000.0,430297000.0,130860000.0,631350000.0,778664000.0,377292000.0,37092000.0,318567000.0,12224000.0,86325000.0,79889000.0,828242000.0,0.1915700086219518,0.20727013542409123,0.1058633762444392,0.16805708238726844,0.27318300623778735,0.3049840250620275,0.7403421357806352,10.705170157068062,1.0472268051242235,6436000.0,0.008265439265202963,0.940140683520034
AARTECH,27642000.0,314556000.0,21568000.0,319872000.0,363522000.0,163364000.0,27975000.0,56375000.0,4219000.0,-15216000.0,4907000.0,428093000.0,0.08787624461145234,0.06742697078831533,0.07603941439582748,0.05933065949241036,0.3055438004565345,-0.0039836770276612254,0.1792208700517555,5.112111874851861,-0.5504666811373996,-20123000.0,-0.0553556593548671,0.8491659522580374
AARTIDRUGS,1681585000.0,13689985000.0,2476440000.0,17377114000.0,23689276000.0,24886458000.0,2050386000.0,6150707000.0,358726000.0,2445838000.0,1771614000.0,25746782000.0,0.12283322443377404,0.14251158161245878,0.07098507358350672,0.10453844178268681,-0.016299483370570966,-0.06396001933202644,0.4492851526133885,6.903430473397523,1.4544837162557944,674224000.0,0.02846114841162727,0.9200868675549434
AARTIIND,3308700000.0,56051200000.0,5435300000.0,76471200000.0,71313200000.0,51911900000.0,11856700000.0,38477900000.0,2363000000.0,12419300000.0,13859700000.0,111135200000.0,0.05902995832381822,0.0710764313885489,0.046396740014471374,0.07621730619296288,0.11164896182865358,-0.346521675776872,0.6864777203699475,2.300169276343631,3.753528576177955,-1440400000.0,-0.0201982241716821,0.6416796838445425
AARTIPHARM,2724048000.0,19899064000.0,3875859000.0,22493556000.0,20860021000.0,11920336000.0,1222511000.0,4208179000.0,268964000.0,3315615000.0,4438784000.0,29064051000.0,0.13689327297002513,0.1723097495122603,0.13058702098142663,0.1858032165931185,0.20506021386673257,0.30613277315594245,0.21147622822862422,14.410326289020093,1.2171646755123258,-1123169000.0,-0.053843138508825085,0.7177258600323816
AARTISURF,145447000.0,2326248000.0,321763000.0,2908840000.0,6485132000.0,5703729000.0,54948000.0,880685000.0,114742000.0,111381000.0,202358000.0,4771871000.0,0.06252428803807676,0.11061557184307147,0.022427762457263783,0.04961548970784249,0.04372634513996454,0.38330397880308187,0.37858603209975894,2.804230360286556,0.7657841000501902,-90977000.0,-0.0140285502284302,1.3590333854372845
AARVI,100445000.0,1253234000.0,142944000.0,1329499000.0,5040768000.0,2834715000.0,120674000.0,267812000.0,30751000.0,-24026000.0,98958000.0,2130294000.0,0.08014863944004072,0.10751719256652317,0.01992652706889109,0.02835758360630761,0.21151585644907356,-0.05932802641100321,0.21369672383609126,4.648434197261878,-0.23919557967046642,-122984000.0,-0.024397869530992104,2.366231139927165
AAVAS,5741082000.0,43608323000.0,7378325000.0,160686608000.0,19875221000.0,11107567000.0,3551806000.0,139184758000.0,52434000.0,-16601262000.0,300706000.0,186184740000.0,0.13165106119765257,0.04591748554428381,0.28885625976184115,0.3712323500704722,0.2140344434059933,(0.17358577771610118+0j),3.191701685020082,140.71642445741313,-2.891660840238826,-16901968000.0,-0.850404028211812,0.10675000002685504
ABAN,-8893920000.0,-254019960000.0,2120590000.0,-254014870000.0,4756550000.0,5983390000.0,-21770780000.0,156971950000.0,10766100000.0,1388900000.0,12380000.0,15329850000.0,0.035012681680604944,-0.008348290791007629,-1.8698258191336157,0.4458252304716654,-0.07363617982790327,(-0.2579957208892203+0j),-0.6179512428865827,0.19696919032890275,-0.15616286182020978,1376520000.0,0.2893946242549747,0.3102802701918153
ABB,18716400000.0,70754000000.0,25286600000.0,71173700000.0,120876700000.0,68640200000.0,5197100000.0,518800000.0,154000000.0,13318000000.0,2139500000.0,123913300000.0,0.2645278005483789,0.3552801104902513,0.15483877372562288,0.20919333502651877,0.20759512626116772,(0.532805611309431+0j),0.007332447635469373,164.1987012987013,0.7115684640208587,11178500000.0,0.09247853391100187,0.9754941559945542
ABBOTINDIA,14144400000.0,42331500000.0,18983800000.0,45101200000.0,64069700000.0,49103000000.0,7987000000.0,1966700000.0,114300000.0,10118400000.0,526000000.0,59173100000.0,0.33413415541617947,0.42091562973934177,0.22076582222173663,0.29629918666702043,0.09273508633980088,(0.20985581179348878+0j),0.04645949234021946,166.08748906386703,0.7153643844913888,9592400000.0,0.14971819752550738,1.0827504389663547
ABCAPITAL,33323200000.0,303887200000.0,145552200000.0,1701867300000.0,431489900000.0,256184300000.0,17059700000.0,1397980100000.0,97123800000.0,-279346300000.0,4576500000.0,2790613800000.0,0.10965647779834096,0.08552499951083142,0.07722822712652139,0.33732469751899175,0.18979655707226462,(0.25004343419009767+0j),4.600325712961915,1.4986254656428188,-8.382937412973543,-283922800000.0,-0.6580056682670904,0.15462186132670885
ABCOTS,102125000.0,1107564000.0,237331000.0,1837659000.0,2961467000.0,1398636000.0,68332000.0,1657855000.0,100567000.0,-164718000.0,500431000.0,2883899000.0,0.09220686118364266,0.1291485525878305,0.03448459834264572,0.08013967401966661,0.28410557562719596,(0.14332397997735424+0j),1.4968480376754751,2.359929201427904,-1.612905752753978,-665149000.0,-0.22460118583121136,1.0268969197603661
ABDL,1948640000.0,15428555000.0,3907848000.0,16827897000.0,33438748000.0,25589090000.0,14760000.0,9052468000.0,1250621000.0,-6784221000.0,1304883000.0,35346596000.0,0.1263008752277838,0.23222438311810442,0.05827490909647694,0.11686585873370618,0.09328080261349214,(4.091922111803842+0j),0.5867346618007973,3.124726036105263,-3.4815158264225308,-8089104000.0,-0.2419081001477687,0.9460245620257182
ABFRL,-3758200000.0,68121700000.0,-1598500000.0,127207600000.0,73089100000.0,80930600000.0,-1087200000.0,50162400000.0,5585300000.0,16438300000.0,6347700000.0,166395000000.0,-0.055168910934401225,-0.012566073096261544,-0.051419431898874116,-0.02187056619933752,-0.03340038462635975,(0.5120174900331886+0j),0.736364477104946,-0.2861976975274381,-4.3739822255335,10090600000.0,0.13805888976605266,0.43925057844286186
ABINFRA,161214000.0,1103782000.0,272429000.0,1389783000.0,2081688000.0,643157000.0,8644000.0,858459000.0,53872000.0,-235921000.0,44283000.0,2491414000.0,0.146056014684059,0.19602268843409368,0.07744388208031175,0.13086927531887582,0.47922037186468813,(1.6519337179082139+0j),0.7777432500258203,5.056968369468369,-1.463402682149193,-280204000.0,-0.13460422503276187,0.8355447950440995
ABMINTLLTD,-13644000.0,135279000.0,-16650000.0,137995000.0,801932000.0,1269854000.0,13718000.0,146508000.0,2027000.0,-12269000.0,87000.0,370204000.0,-0.10085822633224668,-0.12065654552701185,-0.01701391140395944,-0.020762358903248655,-0.14205143770016693,(-0.5009006835470685+0.8644653741193744j),1.083006231565875,-8.214109521460285,0.899223101729698,-12356000.0,-0.01540779018669912,2.1661894523019742
ABREL,-1612800000.0,38402600000.0,-1332500000.0,81161600000.0,12033700000.0,40700800000.0,1665300000.0,49965400000.0,457500000.0,-12934400000.0,2860700000.0,165331700000.0,-0.04199715644253254,-0.016417862634546386,-0.1340236170089,-0.11073069795657196,-0.33380902505835464,(-0.5053105119205841+0.8568273273237866j),1.3010941967470953,-2.912568306010929,8.01984126984127,-15795100000.0,-1.3125721930910692,0.07278519485373948
ABSLAMC,9306000000.0,37268700000.0,12502000000.0,38563800000.0,16847800000.0,12929616000.0,6727718000.0,680600000.0,56600000.0,7084800000.0,312800000.0,41144300000.0,0.24970015052845954,0.32419004351230946,0.5523569842946854,0.7420553425373045,0.09224279989747464,(0.11420496570488359+0j),0.018261973183931825,220.8833922261484,0.7613152804642166,6772000000.0,0.40195159011859116,0.40948077862547183
ACC,24021200000.0,185548400000.0,32350000000.0,197444600000.0,206721500000.0,158144000000.0,18629900000.0,4297700000.0,1082200000.0,17114800000.0,19684400000.0,254126100000.0,0.12946056123361882,0.1638434274728202,0.11620078221181639,0.15649073753818543,0.09339640780691916,(0.088415518183528+0j),0.023162150684134165,29.8928109406764,0.7124873028824539,-2569600000.0,-0.01243025036099293,0.8134603254053795
ACCELYA,1290159000.0,2776759000.0,1780290000.0,3429080000.0,5284914000.0,3683981000.0,761877000.0,620263000.0,34219000.0,1445631000.0,192527000.0,4493375000.0,0.46462764683575347,0.5191742391545254,0.24412109638870189,0.33686262444384146,0.1278210105854778,(0.19193559969232576+0j),0.22337660560387126,52.02635962476987,1.1205060771579316,1253104000.0,0.23710962940929597,1.1761568976548809
ACCURACY,46520000.0,1207890000.0,187210000.0,1492410000.0,9460630000.0,8244510000.0,181000000.0,1355670000.0,118800000.0,5600000.0,73850000.0,3151040000.0,0.03851344079344973,0.12544140015143293,0.004917220100564127,0.019788322764974425,0.046931827543125415,(-0.36420021449749085+0j),1.1223455778257954,1.5758417508417508,0.12037833190025796,-68250000.0,-0.0072141073057502515,3.002383340103585
ACE,4092186000.0,16147255000.0,5777722000.0,16293381000.0,33245835000.0,16295800000.0,1050200000.0,164367000.0,286524000.0,4119842000.0,2209976000.0,27108470000.0,0.2534292051497298,0.3546054683186995,0.12308868163485742,0.17378784440216347,0.2682956991704406,(0.5736003750949064+0j),0.010179253377741294,20.16487973084279,1.0067582460816786,1909866000.0,0.05744677491180474,1.2264002726823018
ACEINTEG,-15600000.0,175400000.0,-20800000.0,176600000.0,85500000.0,87400000.0,9900000.0,1400000.0,200000.0,-1500000.0,700000.0,182100000.0,-0.08893956670467502,-0.11778029445073612,-0.1824561403508772,-0.2432748538011696,-0.00729953030699193,(-0.4181650494100705+1.007767696041085j),0.00798175598631699,-104.0,0.09615384615384616,-2200000.0,-0.025730994152046785,0.4695222405271829
ACI,1621487000.0,18640132000.0,2304394000.0,21961560000.0,10394407000.0,11295843000.0,1882092000.0,2345752000.0,66725000.0,1762337000.0,2635721000.0,23934340000.0,0.0869890299060114,0.10492852056047021,0.1559961044434762,0.22169557147415914,-0.027341566338492385,(-0.04846622683782342+0j),0.12584417320649874,34.53569127013863,1.0868647112187764,-873384000.0,-0.08402441813178953,0.43428843243640725
ACL,-1521100000.0,1445500000.0,-1036800000.0,8536000000.0,2728700000.0,0.0,-2362998000.0,7571700000.0,708300000.0,595500000.0,845900000.0,11444100000.0,-1.0523002421307506,-0.12146204311152765,-0.5574449371495585,-0.3799611536629164,,(-0.13656137836343074+0j),5.238118298166724,-1.4637865311308766,-0.39149299848793634,-250400000.0,-0.0917653094880346,0.23843727335482912
ACMESOLAR,2521080000.0,45105800000.0,10888520000.0,170842090000.0,14051310000.0,14874070000.0,620340000.0,109757290000.0,7508160000.0,15430190000.0,32659930000.0,184037390000.0,0.05589259030989363,0.06373441111613655,0.17941957013260684,0.7749113783697036,-0.018789173643701917,(0.5958262839045849+0j),2.433329860018002,1.4502248220602652,6.120468212036111,-17229740000.0,-1.226201685109787,0.0763503003384258
ACUTAAS,1587136000.0,13096287000.0,2223814000.0,13470137000.0,9999668000.0,5201350000.0,719461000.0,129387000.0,62184000.0,1183427000.0,1946429000.0,15492611000.0,0.1211897692834618,0.16509215904782557,0.1587188694664663,0.2223887833076058,0.24343522875896006,0.3017741057713399,0.009879670474539845,35.76183584201724,0.7456367948304368,-763002000.0,-0.07630273325074392,0.645447562066846
ADANIENSOL,10599700000.0,220682000000.0,42100200000.0,640374200000.0,235461500000.0,109602100000.0,12046100000.0,402752800000.0,31351700000.0,86952200000.0,93781400000.0,739601000000.0,0.04803155671962371,0.06574312331758525,0.04501670124415244,0.1787986571053017,0.29032865994459445,-0.041742184833385876,1.825036930968543,1.342836273631095,8.203269903865204,-6829200000.0,-0.029003467658194653,0.3183628740361357
ADANIENT,70990000000.0,503139700000.0,153663400000.0,1507523900000.0,977110800000.0,693043600000.0,7765600000.0,918191700000.0,48876000000.0,45131000000.0,291711400000.0,1981355400000.0,0.14109401424693777,0.10193098762812318,0.072652968322528,0.15726302482789056,0.12131531051328248,1.0909359029776877,1.8249239724076634,3.1439438579261805,0.6357374278067334,-246580400000.0,-0.25235664164186905,0.4931527175790875
ADANIGREEN,14440000000.0,121370000000.0,70520000000.0,945100000000.0,112120000000.0,51330000000.0,4890000000.0,800400000000.0,48370000000.0,83640000000.0,247760000000.0,1113980000000.0,0.1189750350168905,0.07461644270447572,0.12879058151980022,0.6289689618266143,0.2974897677610051,0.43467251409479024,6.5947103897173935,1.4579284680587141,5.792243767313019,-164120000000.0,-1.463788797716732,0.10064812653728074
ADANIPORTS,110923100000.0,624353900000.0,157163000000.0,1143462400000.0,304753300000.0,169790800000.0,48860300000.0,513048200000.0,26866800000.0,172262800000.0,80489200000.0,1353322300000.0,0.1776606184409195,0.1374448342157993,0.3639766985295975,0.5157056543768352,0.21528485994661017,0.31428219096473575,0.8217265880776912,5.849710423273334,1.5529930194882762,91773600000.0,0.30114062751740506,0.22518900338818032
ADANIPOWER,129387700000.0,563470900000.0,194321200000.0,964765800000.0,561318200000.0,276549000000.0,49115800000.0,393562900000.0,30726100000.0,215011100000.0,115590400000.0,1129175700000.0,0.22962623269453666,0.20141800217213338,0.23050686758419733,0.346187242815216,0.2661320737017909,0.38109617843283905,0.6984618016653567,6.3243040932627315,1.6617584206226712,99420700000.0,0.17712003637152687,0.4971043921685527
